(940.4434, 232.2821, 797.4216)
(830.4676, 760.2817, 994.3045)
(344.3601, 6.326978, 871.7929)
(64.39683, 7.367402, 408.0358)
(457.5482, 51.21935, 585.2220)
(128.3634, 355.9333, 540.1351)
(833.4858, 912.9544, 390.5446)
(244.1057, 275.1521, 479.6536)
(816.5008, 717.9156, 452.0825)
(367.6007, 36.94325, 181.5215)
(616.7534, 389.6375, 400.0740)
(523.3371, 102.4559, 974.0005)
(4.010748, 819.8646, 790.0683)
(134.8015, 873.5026, 530.2861)
(159.8352, 357.4148, 831.1645)
(88.41717, 355.2448, 456.6067)
(623.3439, 784.8120, 624.1001)
(300.0494, 626.0335, 677.7887)
(228.2270, 379.7629, 531.3868)
(751.7180, 643.9511, 392.0226)
(950.3796, 729.0809, 469.5103)
(343.3617, 798.9954, 715.5689)
(935.9484, 220.4777, 651.9821)
(347.8487, 368.7553, 924.1289)
(9.750449, 222.5628, 220.5866)
(1.478683, 545.3444, 173.6836)
(563.8032, 667.8079, 976.6209)
(388.4673, 24.32434, 798.0727)
(135.8258, 453.9904, 189.3862)
(790.4376, 197.6456, 164.5691)
(478.2355, 722.6595, 798.5549)
(329.2838, 282.5748, 785.0339)
(930.8549, 879.3365, 962.7013)
(754.5521, 103.2301, 284.0789)
(945.7557, 187.9390, 238.9130)
(656.2428, 716.3099, 87.36673)
(187.6621, 977.1984, 996.6837)
(30.84841, 503.7130, 517.9518)
(770.8830, 131.6276, 385.6645)
(906.0724, 93.89875, 751.2783)
(256.9017, 280.8130, 832.2955)
(583.7249, 508.6479, 604.3543)
(578.5539, 576.9847, 341.0685)
(555.3658, 960.5084, 193.1107)
(471.0221, 342.9265, 529.4442)
(647.5967, 727.0760, 445.3035)
(169.9808, 124.3712, 181.2632)
(532.1210, 746.7818, 409.4736)
(525.7645, 767.0943, 305.3805)
(68.56142, 873.2504, 286.7290)
(678.0091, 36.55106, 995.0094)
(884.2098, 820.2605, 484.9384)
(311.2273, 854.1226, 506.6929)
(905.6839, 603.8635, 476.6594)
(306.1194, 627.9808, 525.4946)
(875.5652, 901.2929, 399.7508)
(436.2639, 833.2811, 889.0138)
(246.3309, 32.68884, 670.5313)
(162.3474, 538.5307, 504.5334)
(503.9861, 871.6401, 103.0456)
(686.2521, 16.61391, 744.3694)
(237.1129, 759.6579, 378.9081)
(209.5556, 712.2938, 611.4495)
(121.3405, 415.4952, 182.3526)
(855.0701, 544.1557, 702.9536)
(935.3862, 873.0388, 751.9737)
(510.6795, 616.6348, 962.4192)
(484.6167, 18.16365, 326.7746)
(826.4482, 722.1195, 47.97974)
(539.9556, 193.5575, 468.0147)
(880.7930, 379.4074, 310.0672)
(193.7192, 671.2220, 98.08580)
(421.7256, 196.1662, 89.17811)
(68.57814, 113.0074, 505.7470)
(679.0920, 182.3259, 567.6634)
(50.13796, 168.5635, 324.1528)
(394.4363, 487.6890, 606.4444)
(509.1158, 632.1320, 515.7536)
(822.1768, 342.8146, 976.3420)
(453.6271, 116.3725, 694.5103)
(41.07235, 620.6487, 512.1168)
(869.7109, 688.3329, 347.5027)
(177.3323, 97.28225, 94.38437)
(459.8237, 790.7238, 857.6401)
(185.8282, 737.8836, 773.3632)
(446.1648, 579.0555, 149.3934)
(258.8492, 135.6653, 924.7449)
(625.3093, 629.1986, 531.4950)
(837.1199, 784.9835, 242.1926)
(988.7906, 218.5360, 261.0370)
(686.8089, 463.2705, 843.6772)
(243.9716, 570.6247, 801.0876)
(535.1865, 442.7658, 332.6713)
(280.3795, 97.95441, 896.5234)
(59.16337, 132.4085, 492.5218)
(991.6598, 599.8070, 922.5186)
(372.1376, 586.1225, 555.0217)
(898.5726, 194.9344, 365.7465)
(846.3812, 841.0572, 630.4566)
(428.0432, 677.8946, 543.6627)
(857.3839, 612.5141, 637.4071)
(755.8623, 652.7528, 286.9657)
(595.4041, 330.8179, 890.2766)
(135.2820, 823.8482, 343.8447)
(176.5085, 996.6831, 464.3688)
(173.6609, 858.5790, 953.6684)
(61.16002, 864.7374, 601.0714)
(666.5983, 393.3171, 632.2445)
(8.272149, 445.2297, 242.0671)
(7.370390, 563.5525, 641.4616)
(41.41226, 979.1555, 270.0007)
(742.0956, 602.1150, 454.4503)
(921.6279, 966.5469, 214.7060)
(473.1622, 932.5234, 275.1741)
(466.2928, 966.6094, 962.2264)
(425.2170, 79.38961, 237.5421)
(395.3198, 140.2510, 884.7676)
(974.2343, 871.8321, 481.5754)
(844.4606, 392.9770, 680.4590)
(268.0577, 650.5245, 964.3360)
(778.8833, 722.6561, 42.97189)
(331.6513, 643.5859, 590.1314)
(423.4554, 180.4740, 914.4966)
(617.3483, 750.7830, 278.9416)
(37.62979, 664.0426, 963.1888)
(396.4947, 694.4997, 681.0073)
(391.4794, 540.8330, 868.5916)
(462.3137, 703.7040, 798.5975)
(769.4995, 380.4491, 948.8799)
(79.94913, 724.5151, 284.1023)
(150.5227, 228.9886, 351.4697)
(353.7794, 740.2984, 308.8339)
(980.4970, 995.4749, 851.0213)
(317.1360, 357.0852, 785.2547)
(81.47894, 258.8693, 85.34190)
(59.84371, 924.1555, 277.3860)
(180.7860, 13.12626, 476.8721)
(501.9684, 327.2175, 48.89196)
(374.6421, 375.4528, 136.3005)
(695.1648, 195.6695, 484.9284)
